locationA,locationB,avg_purchase_to_delivery_days,avg_carrier_to_delivery_days,on_time_delivery,late_delivery,on_time_carrier,late_carrier,punctuality_ratio,total_successful_deliveries
Bangkok,Nakhon Pathom,11.909090909090908,8.654545454545454,50,5,50,5,0.9090909090909091,55
Bangkok,Nakhon Phanom,12.602209944751381,9.292817679558011,165,16,155,26,0.9116022099447514,181
Bangkok,Nakhon Ratchasima,11.895522388059701,8.414179104477611,245,23,239,29,0.914179104477612,268
Bangkok,Nakhon Sawan,11.837837837837839,8.432432432432432,35,2,32,5,0.9459459459459459,37
Bangkok,Nakhon Si Thammarat,11.642857142857142,8.952380952380953,41,1,41,1,0.9761904761904762,42
Bangkok,Narathiwat,10.153846153846153,7.3076923076923075,13,0,13,0,1.0,13
Bangkok,Nong Khai,12.166666666666666,8.416666666666666,11,1,11,1,0.9166666666666666,12
Bangkok,Nonthaburi,11.03125,8.0,29,3,30,2,0.90625,32
Bangkok,Pathum Thani,13.277777777777779,9.88888888888889,14,4,17,1,0.7777777777777778,18
Bangkok,Pattani,11.365384615384615,7.125,97,7,92,12,0.9326923076923077,104
Bangkok,Phangnga,11.6,7.8,5,0,5,0,1.0,5
Bangkok,Phatthalung,15.3125,11.4375,14,2,13,3,0.875,16
Bangkok,Phetchaburi,10.758620689655173,8.03448275862069,24,5,27,2,0.8275862068965517,29
Bangkok,Phra Nakhon Si Ayutthaya,10.258064516129032,7.064516129032258,31,0,29,2,1.0,31
Bangkok,Phrae,13.212765957446809,9.76595744680851,43,4,44,3,0.9148936170212766,47
Bangkok,Phuket,17.7,15.3,7,3,10,0,0.7,10
Bangkok,Prachin Buri,11.240384615384615,8.163461538461538,100,4,93,11,0.9615384615384616,104
Bangkok,Prachuap Khiri Khan,14.588235294117647,10.450980392156863,45,6,43,8,0.8823529411764706,51
Bangkok,Ranong,13.863636363636363,9.954545454545455,18,4,20,2,0.8181818181818182,22
Bangkok,Ratchaburi,10.577777777777778,7.733333333333333,43,2,41,4,0.9555555555555556,45
Bangkok,Rayong,10.14,6.78,49,1,43,7,0.98,50
Bangkok,Roi Et,12.012820512820513,8.66025641025641,286,26,281,31,0.9166666666666666,312
Bangkok,Sa Kaeo,11.948051948051948,9.155844155844155,75,2,75,2,0.974025974025974,77
Bangkok,Sakon Nakhon,11.712962962962964,8.777777777777779,197,19,200,16,0.9120370370370371,216
Bangkok,Samut Prakan,10.564102564102564,7.589743589743589,35,4,37,2,0.8974358974358975,39
Bangkok,Samut Sakhon,7.461538461538462,5.3076923076923075,12,1,12,1,0.9230769230769231,13
Bangkok,Samut Songkhram,13.317073170731707,9.195121951219512,30,11,35,6,0.7317073170731707,41
Bangkok,Saraburi,13.0,9.875,29,3,28,4,0.90625,32
Bangkok,Satun,16.454545454545453,12.272727272727273,9,2,11,0,0.8181818181818182,11
Bangkok,Si Sa Ket,11.903225806451612,8.258064516129032,257,22,248,31,0.921146953405018,279
Bangkok,Sing Buri,16.0,12.4,9,1,10,0,0.9,10
Bangkok,Songkhla,11.18918918918919,8.216216216216216,36,1,33,4,0.972972972972973,37
Bangkok,Sukhothai,10.714285714285714,7.928571428571429,13,1,14,0,0.9285714285714286,14
Bangkok,Suphan Buri,15.0,11.666666666666666,16,2,13,5,0.8888888888888888,18
Bangkok,Surat Thani,11.916666666666666,7.666666666666667,12,0,8,4,1.0,12
Bangkok,Surin,11.457446808510639,8.351063829787234,168,20,169,19,0.8936170212765957,188
Bangkok,Tak,10.2,7.633333333333334,29,1,28,2,0.9666666666666667,30
Bangkok,Trang,11.6,8.8,9,1,9,1,0.9,10
Bangkok,Trat,11.18,8.2,47,3,41,9,0.94,50
Bangkok,Ubon Ratchathani,11.806930693069306,8.435643564356436,184,18,182,20,0.9108910891089109,202
Bangkok,Udon Thani,13.030303030303031,8.606060606060606,29,4,27,6,0.8787878787878788,33
Bangkok,Uthai Thani,12.846153846153847,9.692307692307692,36,3,34,5,0.9230769230769231,39
Bangkok,Uttaradit,19.615384615384617,16.487179487179485,33,6,33,6,0.8461538461538461,39
Bangkok,Yala,5.5,2.0,2,0,2,0,1.0,2
Bangkok,Yasothon,10.860759493670885,7.962025316455696,74,5,73,6,0.9367088607594937,79
Bueng Kan,Bueng Kan,9.766666666666667,7.3,29,1,28,2,0.9666666666666667,30
Bueng Kan,Buri Ram,12.494623655913978,8.010752688172044,88,5,77,16,0.946236559139785,93
Bueng Kan,Chachoengsao,11.71311475409836,8.868852459016393,116,6,115,7,0.9508196721311475,122
Bueng Kan,Chai Nat,9.66,7.9,45,5,49,1,0.9,50
Bueng Kan,Chaiyaphum,9.017241379310345,6.603448275862069,56,2,56,2,0.9655172413793104,58
Bueng Kan,Chanthaburi,12.413793103448276,9.551724137931034,56,2,54,4,0.9655172413793104,58
Bueng Kan,Chiang Mai,14.07563025210084,8.378151260504202,114,5,98,21,0.957983193277311,119
Bueng Kan,Chon Buri,11.938775510204081,8.857142857142858,44,5,44,5,0.8979591836734694,49
Bueng Kan,Chumphon,15.933333333333334,12.466666666666667,12,3,13,2,0.8,15
Bueng Kan,Kalasin,13.089285714285714,8.883928571428571,98,14,98,14,0.875,112
Bueng Kan,Kamphaeng Phet,13.347826086956522,9.869565217391305,20,3,21,2,0.8695652173913043,23
Bueng Kan,Kanchanaburi,10.0,8.0,2,0,2,0,1.0,2
Bueng Kan,Khon Kaen,9.424657534246576,6.328767123287672,69,4,66,7,0.9452054794520548,73
Bueng Kan,Krabi,12.307692307692308,9.384615384615385,13,0,12,1,1.0,13
Bueng Kan,Lampang,9.934782608695652,6.1521739130434785,45,1,44,2,0.9782608695652174,46
Bueng Kan,Lamphun,16.818181818181817,11.0,17,5,18,4,0.7727272727272727,22
Bueng Kan,Loei,14.566666666666666,11.333333333333334,25,5,23,7,0.8333333333333334,30
Bueng Kan,Lop Buri,10.309859154929578,7.591549295774648,67,4,63,8,0.9436619718309859,71
Bueng Kan,Maha Sarakham,10.75206611570248,7.909090909090909,109,12,109,12,0.9008264462809917,121
Bueng Kan,Mukdahan,11.4375,8.791666666666666,45,3,43,5,0.9375,48
Bueng Kan,Nakhon Nayok,12.74,9.92,46,4,43,7,0.92,50
Bueng Kan,Nakhon Pathom,14.045454545454545,11.181818181818182,18,4,20,2,0.8181818181818182,22
Bueng Kan,Nakhon Phanom,13.247619047619047,10.219047619047618,94,11,96,9,0.8952380952380953,105
Bueng Kan,Nakhon Ratchasima,11.241610738255034,8.248322147651006,140,9,137,12,0.9395973154362416,149
Bueng Kan,Nakhon Sawan,13.222222222222221,9.5,17,1,16,2,0.9444444444444444,18
Bueng Kan,Nakhon Si Thammarat,11.764705882352942,8.411764705882353,16,1,14,3,0.9411764705882353,17
Bueng Kan,Narathiwat,7.0,5.5,2,0,2,0,1.0,2
Bueng Kan,Nong Khai,10.695652173913043,8.347826086956522,22,1,22,1,0.9565217391304348,23
Bueng Kan,Nonthaburi,12.04,8.32,24,1,25,0,0.96,25
Bueng Kan,Pathum Thani,14.741935483870968,10.258064516129032,26,5,25,6,0.8387096774193549,31
Bueng Kan,Pattani,12.347826086956522,7.6521739130434785,20,3,17,6,0.8695652173913043,23
Bueng Kan,Phangnga,13.375,9.875,8,0,8,0,1.0,8
Bueng Kan,Phatthalung,18.666666666666668,14.666666666666666,8,1,9,0,0.8888888888888888,9
Bueng Kan,Phetchaburi,9.555555555555555,7.222222222222222,9,0,9,0,1.0,9
Bueng Kan,Phra Nakhon Si Ayutthaya,10.96078431372549,7.686274509803922,49,2,50,1,0.9607843137254902,51
Bueng Kan,Phrae,11.545454545454545,10.272727272727273,11,0,11,0,1.0,11
Bueng Kan,Phuket,14.4,12.6,3,2,5,0,0.6,5
Bueng Kan,Prachin Buri,12.6375,9.8125,76,4,73,7,0.95,80
Bueng Kan,Prachuap Khiri Khan,10.928571428571429,8.071428571428571,12,2,12,2,0.8571428571428571,14
Bueng Kan,Ranong,7.142857142857143,5.142857142857143,7,0,6,1,1.0,7
Bueng Kan,Ratchaburi,7.285714285714286,4.857142857142857,20,1,19,2,0.9523809523809523,21
Bueng Kan,Rayong,10.450980392156863,7.529411764705882,49,2,46,5,0.9607843137254902,51
Bueng Kan,Roi Et,11.973154362416107,8.167785234899329,136,13,136,13,0.912751677852349,149
Bueng Kan,Sa Kaeo,11.037037037037036,7.888888888888889,24,3,23,4,0.8888888888888888,27
Bueng Kan,Sakon Nakhon,11.069767441860465,8.015503875968992,120,9,115,14,0.9302325581395349,129
Bueng Kan,Samut Prakan,10.933333333333334,6.977777777777778,41,4,36,9,0.9111111111111111,45
Bueng Kan,Samut Sakhon,8.222222222222221,5.222222222222222,9,0,8,1,1.0,9
Bueng Kan,Samut Songkhram,12.869565217391305,7.260869565217392,20,3,18,5,0.8695652173913043,23
Bueng Kan,Saraburi,12.295454545454545,9.159090909090908,79,9,81,7,0.8977272727272727,88
Bueng Kan,Satun,8.833333333333334,7.0,5,1,6,0,0.8333333333333334,6
Bueng Kan,Si Sa Ket,11.73936170212766,8.670212765957446,350,26,339,37,0.9308510638297872,376
Bueng Kan,Sing Buri,11.391304347826088,9.173913043478262,21,2,21,2,0.9130434782608695,23
Bueng Kan,Songkhla,12.933333333333334,9.333333333333334,13,2,14,1,0.8666666666666667,15
Bueng Kan,Sukhothai,25.5,16.75,3,1,2,2,0.75,4
Bueng Kan,Suphan Buri,14.5,10.416666666666666,10,2,9,3,0.8333333333333334,12
Bueng Kan,Surat Thani,11.25,7.25,6,2,6,2,0.75,8
Bueng Kan,Surin,11.49090909090909,8.666666666666666,156,9,155,10,0.9454545454545454,165
Bueng Kan,Tak,10.0,5.857142857142857,12,2,11,3,0.8571428571428571,14
Bueng Kan,Trang,13.75,12.0,3,1,4,0,0.75,4
Bueng Kan,Trat,13.35,9.425,37,3,34,6,0.925,40
Bueng Kan,Ubon Ratchathani,11.218579234972678,8.557377049180328,169,14,169,14,0.9234972677595629,183
Bueng Kan,Udon Thani,10.297872340425531,6.382978723404255,43,4,41,6,0.9148936170212766,47
Bueng Kan,Uthai Thani,11.6,8.4,10,0,9,1,1.0,10
Bueng Kan,Uttaradit,13.411764705882353,9.0,16,1,12,5,0.9411764705882353,17
Bueng Kan,Yasothon,11.727272727272727,8.287878787878787,59,7,54,12,0.8939393939393939,66
Buri Ram,Buri Ram,12.465753424657533,9.301369863013699,66,7,65,8,0.9041095890410958,73
Buri Ram,Chachoengsao,12.669642857142858,9.571428571428571,208,16,210,14,0.9285714285714286,224
Buri Ram,Chai Nat,8.58252427184466,6.446601941747573,101,2,98,5,0.9805825242718447,103
Buri Ram,Chaiyaphum,10.0,6.752577319587629,94,3,85,12,0.9690721649484536,97
Buri Ram,Chanthaburi,12.46788990825688,8.917431192660551,96,13,97,12,0.8807339449541285,109
Buri Ram,Chiang Mai,13.431472081218274,7.883248730964467,190,7,162,35,0.9644670050761421,197
Buri Ram,Chon Buri,11.569767441860465,8.151162790697674,82,4,79,7,0.9534883720930233,86
Buri Ram,Chumphon,12.709677419354838,9.548387096774194,29,2,27,4,0.9354838709677419,31
Buri Ram,Kalasin,11.123076923076923,7.8,180,15,180,15,0.9230769230769231,195
Buri Ram,Kamphaeng Phet,13.428571428571429,8.428571428571429,33,2,25,10,0.9428571428571428,35
Buri Ram,Kanchanaburi,11.9,8.5,10,0,7,3,1.0,10
Buri Ram,Khon Kaen,10.529411764705882,7.34453781512605,111,8,106,13,0.9327731092436975,119
Buri Ram,Krabi,14.566666666666666,9.9,25,5,25,5,0.8333333333333334,30
Buri Ram,Lampang,11.178082191780822,7.3561643835616435,67,6,62,11,0.9178082191780822,73
Buri Ram,Lamphun,11.159090909090908,7.136363636363637,39,5,37,7,0.8863636363636364,44
Buri Ram,Loei,12.887323943661972,9.535211267605634,63,8,64,7,0.8873239436619719,71
Buri Ram,Lop Buri,10.406015037593985,7.7368421052631575,123,10,125,8,0.924812030075188,133
Buri Ram,Maha Sarakham,11.599137931034482,8.616379310344827,210,22,203,29,0.9051724137931034,232
